userID	artistID	weight
52	14370	55
93	12911	16
15	7944	12
72	12200	17
61	15729	16
21	23276	12
83	6739	8
87	15914	84
75	19124	3
75	10168	16
88	10555	30
100	17261	23
24	3813	92
3	28025	5
22	27286	84
53	26901	65
2	1606	30
88	5623	21
30	6768	84
38	27140	70
2	11614	22
64	10590	82
60	13919	72
21	20120	32
33	27447	33
76	13047	16
58	24819	76
22	4325	38
89	10788	98
49	9112	14
91	16390	36
59	14044	97
42	28747	23
92	22351	66
60	118	85
80	18936	2
15	13235	91
62	847	73
62	10955	65
47	13704	75
62	22701	67
51	32044	52
55	6470	62
64	30106	23
3	26387	26
51	2049	68
7	12942	82
21	1829	55
73	1918	6
39	20619	35
18	32255	22
4	20129	43
89	10	15
60	16645	86
14	22423	60
9	9866	12
90	2220	49
53	5288	42
2	8513	38
84	1343	82
92	19217	45
60	27535	35
71	14232	30
44	32294	88
8	26615	30
47	28254	78
35	17989	6
78	31038	67
81	12220	80
36	236	7
50	1909	52
4	8568	14
2	5257	73
6	19020	15
54	8163	21
4	5416	35
54	5952	66
93	21853	91
63	8008	2
18	30524	35
90	23326	82
44	21205	78
34	15525	20
74	19283	82
62	23931	10
100	78	25
14	20612	66
95	16985	25
48	14061	54
15	17450	33
72	18521	36
78	9511	95
87	29288	14
62	28174	65
40	11955	80
85	7805	54
80	6566	52
82	5985	3
53	21527	99
24	18575	41
26	9185	6
89	19097	25
60	2193	13
41	34017	98
29	11247	8
15	18382	21
45	26728	98
65	4019	68
89	11303	25
71	1971	79
9	27203	68
88	31111	45
1	17587	60
8	24520	12
88	31274	32
63	21952	96
11	15375	92
81	5789	13
8	5409	31
35	25054	78
35	9447	20
33	923	18
5	33188	93
41	10790	60
28	32185	63
7	1121	6
73	32155	32
72	17335	93
12	2337	43
34	2244	2
33	19030	60
48	32266	23
23	23711	83
62	29487	31
88	6372	5
37	6360	83
99	20104	34
44	14383	10
86	18756	89
91	3757	2
35	20610	11
65	16479	50
99	10148	31
47	33562	56
78	5780	79
3	12299	73
1	14154	87
5	10790	83
90	13000	9
14	815	99
27	10542	21
9	24939	73
79	2444	28
15	10458	62
90	10381	7
42	7784	80
77	17369	16
51	15329	97
63	26216	4
96	33596	4
52	27307	40
96	19916	17
4	15344	52
94	127	93
23	27633	52
15	20531	36
43	3369	38
29	3798	50
36	13719	63
13	11054	63
32	22117	62
71	1646	99
59	19257	7
86	2709	27
28	11695	92
66	9525	86
42	31881	14
45	32410	71
62	13225	86
57	25151	5
6	7974	55
28	8578	2
28	8071	62
44	8667	91
84	6784	21
30	4972	79
62	13491	21
75	1991	10
92	5300	87
89	19957	58
62	22360	39
97	28735	5
1	4758	65
27	19098	13
62	10396	85
77	16242	90
3	27697	85
70	4945	53
72	19817	82
27	24918	45
9	31196	32
62	21567	36
37	9917	81
97	20807	99
51	9985	60
44	1760	11
24	26839	63
79	2483	21
59	24443	52
32	33720	55
96	27966	26
88	2080	68
52	2718	34
62	27953	52
58	20909	82
52	24862	99
12	7312	93
39	28072	52
2	23571	29
3	18450	38
56	33537	42
81	28866	21
59	6646	42
2	26738	13
2	11486	64
92	25523	17
54	12343	9
87	13088	41
96	10094	1
97	16439	2
1	26400	60
19	19847	48
2	15709	29
53	10999	97
44	30679	10
90	10683	58
32	8520	60
70	31481	21
32	19695	28
68	3301	75
55	6723	34
75	24161	8
56	20060	59
17	13576	86
38	7971	72
24	21592	49
69	31822	79
98	9504	17
70	18923	60
86	12176	87
11	21390	88
16	823	45
97	17328	83
73	6151	69
59	4426	32
70	16033	44
80	2199	65
93	20080	87
3	13860	8
20	31420	77
59	8706	72
36	23237	87
19	22420	43
90	19979	1
67	15359	51
19	29379	24
20	11383	99
96	14597	24
71	33573	17
52	13222	5
33	1280	20
40	7084	21
39	17772	58
82	29976	31
1	19064	11
11	2107	52
92	24558	15
57	20608	83
89	28530	7
50	27857	28
23	2574	51
31	12809	58
94	23753	5
42	17686	5
99	11373	94
7	8997	96
16	16459	8
90	31890	64
60	26666	10
2	31654	38
1	26658	96
48	22181	92
12	31897	81
69	12876	95
37	1623	8
32	16726	25
9	15647	73
99	17030	66
19	29403	79
48	4264	50
80	30988	67
3	8647	49
20	27530	36
24	11665	68
54	24028	78
33	29374	41
24	20610	89
75	19251	62
72	21173	10
36	11556	21
38	21875	36
84	13082	12
99	24064	91
89	6820	2
99	25713	13
25	24763	53
93	11047	32
18	31464	95
82	28770	16
66	23151	32
54	2712	32
35	4854	98
80	29078	11
61	23864	10
41	21793	15
100	8943	17
33	1763	40
68	31988	18
33	15851	55
14	12113	73
21	24059	25
48	482	59
20	32922	78
8	1525	89
7	15049	22
67	34009	30
17	61	84
33	9131	85
48	18024	44
76	13351	32
59	24355	51
86	28146	46
22	34021	21
30	20588	99
38	9651	32
51	19934	94
54	20582	39
8	23394	12
27	23052	47
27	26213	18
98	4091	21
21	6961	13
30	21521	21
97	28471	8
28	20492	46
64	1342	7
97	24792	23
69	339	96
61	5896	75
48	12255	86
19	11345	22
4	1751	89
35	2422	22
64	5320	92
49	15897	29
17	11919	13
44	25065	82
92	27936	2
30	29712	29
93	4807	85
46	12183	79
6	22298	52
99	19542	27
37	28922	50
24	16775	95
93	8821	79
46	24071	23
53	4233	88
95	11123	44
99	15024	77
60	8008	22
97	17906	43
63	29399	37
85	6738	61
32	25511	97
87	19427	56
33	17851	3
67	615	63
18	21777	19
25	24078	23
95	9375	29
54	30908	30
58	13410	39
67	16515	25
46	29867	8
24	2984	58
32	31706	16
47	20663	72
86	23511	1
23	12652	5
66	28536	3
27	6641	65
2	15318	4
90	7565	99
17	27346	96
33	28688	64
9	13738	98
43	9324	89
48	15230	10
39	8503	21
93	546	46
42	29431	91
26	9997	27
99	27789	66
50	29970	41
25	13920	13
24	3811	9
13	30587	36
60	16372	86
7	29630	90
57	8437	58
36	12985	54
45	33040	12
20	19896	81
65	18156	78
8	10617	14
16	24575	34
14	3431	53
76	12677	20
87	10817	75
15	32734	16
92	20145	95
98	2051	70
66	33934	56
32	24952	83
87	32414	58
63	32914	4
86	25281	4
51	24558	20
25	4495	10
58	15153	24
63	23896	99
62	9156	26
22	31884	37
58	1829	85
58	32124	54
86	807	21
49	29758	74
52	14562	38
42	24263	46
70	14900	4
15	15935	60
54	11594	57
60	17321	45
97	27377	20
8	14200	17
53	15877	71
60	8246	4
5	7215	93
68	727	14
6	11363	3
96	18298	88
94	30449	80
47	26173	58
99	7658	55
55	18851	4
40	25426	24
52	26686	34
16	24579	30
13	28832	82
30	7907	19
19	7288	31
17	33661	60
63	10223	60
19	17765	19
92	17675	49
58	18025	63
55	23875	83
90	32285	22
90	17603	24
62	23266	76
23	25932	30
9	28842	58
12	29193	31
1	15586	64
58	25560	19
1	33743	48
34	4134	45
96	14664	94
48	21755	55
89	3973	55
